splpk,splrms,dissim,impulsivity,peakcount,day_of_week,time_of_day,time_since_exposure
121.82460613359551,92.49983865926198,0.038185115,57.793503822594985,2,Saturday,17:00,-1
135.34844562310064,98.41310122,0.018338282480101113,879.8199894802054,1,Saturday,17:10,-1
110.47654622136206,92.74729068028742,0.023447096579201396,3.658837894590733,0,Saturday,17:20,-1
137.36529316494864,100.82185883092527,0.029774332856942188,821.4959676927784,1,Saturday,17:30,-1
131.92571357951624,97.17102335074351,0.073299779,317.6122879528549,1,Saturday,17:40,-1
144.4056962753456,105.75681827051139,0.030074736209974858,2564.6123658169713,1,Saturday,17:50,-1
124.3969840417677,95.42541730588825,0.025192976376891607,25.76313025043301,1,Saturday,18:00,-1
139.91286378922453,107.37140167416717,0.051696957211133994,370.0451268028464,1,Saturday,18:10,-1
120.5839529425071,89.86496532045736,0.10034692653701573,106.68540141630238,0,Saturday,18:20,-1
105.96664363049767,86.80377534,0.042614719,8.085037124,0,Saturday,18:30,-1
129.49028172925262,96.13723292341909,0.066468913,489.6755779877249,3,Saturday,18:40,-1
116.68740289714277,84.71261458059315,0.019737789085408367,170.8054796929133,0,Saturday,18:50,-1
114.08543440776441,83.86632454159901,0.014987620314716062,154.34132672689483,1,Saturday,19:00,-1
117.54121090005034,104.20077841629504,0.036230252,2.995947834517326,1,Saturday,19:10,-1
105.49491219613299,82.89143952509212,0.027600169754291224,4.575935187623582,0,Saturday,19:20,-1
124.47184635054306,90.80301750056164,0.02217711,521.9331722189816,2,Saturday,19:30,-1
125.83212537794431,97.31023288046205,0.10305923420168174,129.42625344426511,2,Saturday,19:40,-1
130.62161334152418,100.57648088424152,0.044481679428569974,132.07496422494202,1,Saturday,19:50,-1
138.52761303492872,105.31255094087457,0.049814797,208.76363003794825,1,Saturday,20:00,-1
149.38020336425384,119.75912068184127,0.072519883,109.98691087507716,0,Saturday,20:10,-1
100.55014333005414,82.17172310404138,0.013078038047581238,3.999044812761239,0,Saturday,20:20,-1
98.07905942496521,82.88923864174339,0.016979124864928963,3.5263469219658723,0,Saturday,20:30,-1
106.36873401977286,83.57406548135921,0.019767443,7.7899817095681545,0,Saturday,20:40,-1
109.59948730052977,83.14736084986272,0.023836582237872696,19.59343211055387,1,Saturday,20:50,-1
123.01576277721722,106.65523915186404,0.071707214,5.148960530473266,0,Saturday,21:00,-1
99.04299130379712,83.20308437356503,0.024392835,3.963302341817287,0,Saturday,21:10,-1
99.04580036999029,81.75293114116576,0.040571932434001444,4.024360891719183,0,Saturday,21:20,-1
104.8199002935778,89.9604438,0.10502635993849463,5.093001737236259,0,Saturday,21:30,-1
121.2400944609399,95.75116682146479,0.077904189,16.680431130040404,0,Saturday,21:40,-1
122.12020846738821,92.31052849060676,0.063269411,60.208301312867995,0,Saturday,21:50,-1
115.54820575941915,92.85493491,0.046655311,16.48850871849955,1,Saturday,22:00,-1
120.66675024464092,95.58729755358056,0.055808232307272276,15.964343777317369,0,Saturday,22:10,-1
123.71710165962939,108.9613872,0.039592594267274295,3.436839543564745,0,Saturday,22:20,-1
119.68534164681493,92.69123185947953,0.052848225,27.17196513058795,0,Saturday,22:30,-1
120.56255133340862,94.55247948492682,0.05734143,28.357929165401565,0,Saturday,22:40,-1
123.07662749880637,108.8094842,0.035986227846693725,3.8057753583657914,0,Saturday,22:50,-1
127.73427492085531,96.61584943433505,0.065638991,164.97736381039607,0,Saturday,23:00,-1
122.28405220093788,96.41990140880978,0.033066864,23.189620983015654,0,Saturday,23:10,-1
131.19411877310927,99.82151486465982,0.045953739,225.71067818469044,1,Saturday,23:20,-1
130.9120587142952,99.06383447033127,0.049754771,138.2646966406242,0,Saturday,23:30,-1
128.9486975446743,98.41155339,0.07594224,143.83041894673545,1,Saturday,23:40,-1
123.84104712596707,94.16624680189514,0.060624231758507154,130.42537815029564,1,Saturday,23:50,-1
132.36616429287685,96.51873370563054,0.063839212,525.8486567091396,0,Sunday,0:00,-1
128.5050482432405,97.82242456,0.04182061,77.77980900335801,1,Sunday,0:10,-1
125.39015247153293,95.29503838309117,0.042975685,97.42869539135911,0,Sunday,0:20,-1
120.40213821769144,93.82784023450596,0.04089861,37.731379771760864,0,Sunday,0:30,-1
107.26314645776148,84.08394272756466,0.029051718230422574,5.701622838416729,0,Sunday,0:40,-1
117.28033925342125,93.50796342626431,0.039150445,18.54340873580396,0,Sunday,0:50,-1
118.74842633610501,95.30033834140588,0.039849671,10.034639099666839,0,Sunday,1:00,-1
118.78719354339052,94.32698915330849,0.063730337,18.372931069681425,3,Sunday,1:10,-1
127.19636632373636,95.83028965151796,0.057835225,134.00861574016486,1,Sunday,1:20,-1
129.14294776165298,95.13421484355715,0.048065636,527.5810178290012,1,Sunday,1:30,-1
130.17014897834142,95.72260697596982,0.045238639164331206,690.0948212281767,0,Sunday,1:40,-1
118.48093304399671,89.78640021880815,0.050831412996307446,44.964224733336714,0,Sunday,1:50,-1
118.69316090942203,94.24821553002138,0.074818019,16.07773922880643,0,Sunday,2:00,-1
123.86442777644363,93.91777329946933,0.044949968,51.339667818375354,0,Sunday,2:10,-1
128.91992712215878,96.98554173050158,0.058535333321996834,260.7829235413318,0,Sunday,2:20,-1
108.71358508821027,94.10990546293918,0.054597221,4.116528831513684,1,Sunday,2:30,-1
134.31296570122686,99.61571186188146,0.046667994,344.2104736996713,1,Sunday,2:40,-1
128.33276397998137,97.28703196281626,0.040199555,110.60100941197847,1,Sunday,2:50,-1
140.92360948958338,101.56383683475177,0.082483561,2679.9167802998118,1,Sunday,3:00,-1
